40.180,20.580,26.656,-4.410,34.790,22.050,7.056,40.768,57.918,49.686,42.336,14.112,49.980,52.920,62.720,42.630,-24.892,24.108
40.180,20.580,26.656,-4.214,34.692,22.148,7.056,40.768,57.918,49.784,42.434,14.602,49.980,52.920,62.720,42.728,-24.696,23.814
40.670,20.188,26.166,-4.312,34.594,22.442,8.330,42.434,57.036,50.470,44.786,15.190,50.078,51.254,63.700,43.120,-24.402,23.520
42.238,19.502,25.088,-4.312,34.594,22.442,8.330,42.434,57.036,50.078,46.354,16.170,49.294,51.352,64.092,43.120,-24.402,23.520
42.238,19.502,25.088,-5.096,34.202,22.148,7.840,42.434,57.330,50.078,46.354,16.170,49.294,51.352,64.092,42.924,-24.304,23.618
43.708,19.404,25.284,-5.096,34.202,22.148,7.840,42.434,57.330,49.882,47.334,16.464,49.294,51.352,64.092,42.924,-24.304,23.618
43.708,19.404,25.284,-4.606,33.712,22.932,7.840,42.434,57.330,49.882,47.334,16.464,49.000,51.058,64.386,42.924,-24.304,23.618
44.100,19.110,25.578,-4.802,33.810,22.932,7.350,41.650,57.624,49.784,47.432,16.562,48.510,51.450,64.582,42.826,-24.500,23.814
43.904,19.306,25.578,-4.508,33.712,22.932,7.154,41.748,57.722,50.078,47.334,16.660,48.412,51.646,64.386,42.826,-24.500,23.814
44.100,19.208,25.578,-4.508,33.712,22.932,7.154,41.748,57.722,50.078,47.334,16.660,48.412,51.646,64.386,42.728,-24.696,23.912
44.100,19.110,25.480,-4.900,33.810,22.932,6.370,41.258,58.016,49.392,48.510,16.856,47.530,53.116,63.896,42.826,-24.598,24.010
50.176,0.980,49.784,69.188,0.784,47.432,94.080,1.470,42.336,58.212,1.078,-1.078,19.110,25.480,12.544,33.124,22.932,0.000
44.198,19.306,25.480,-4.606,33.614,22.932,6.174,41.356,58.114,49.392,48.510,16.856,47.530,53.116,63.896,42.826,-24.696,23.912
44.198,19.306,25.578,-4.704,33.908,22.932,6.370,41.356,58.114,49.392,48.412,16.954,47.628,53.410,63.700,42.728,-24.696,23.912
44.198,19.306,25.578,-4.704,33.908,22.932,6.370,41.356,58.114,49.098,48.608,16.954,47.432,53.410,63.798,42.728,-24.696,23.912
44.198,19.208,25.578,-4.606,33.908,22.834,6.174,41.356,58.114,49.392,48.412,16.954,47.628,53.312,63.896,42.826,-24.696,23.912
44.296,19.306,25.480,-4.606,33.516,22.834,6.272,41.454,58.114,49.392,48.412,16.954,47.628,53.312,63.896,42.728,-24.696,24.010
44.100,19.110,25.480,-4.704,33.712,22.736,6.272,41.258,58.114,49.588,48.706,16.856,47.530,53.214,63.798,42.826,-24.696,24.010
44.198,19.110,25.578,-4.606,33.810,22.834,5.978,41.356,58.016,49.490,48.608,16.954,47.530,53.410,63.896,42.826,-24.696,24.010
44.100,19.208,25.578,-4.704,33.810,22.932,6.272,41.160,58.016,49.490,48.608,16.954,47.432,53.214,63.700,42.826,-24.696,24.010
44.198,19.110,25.578,-4.606,34.006,22.834,6.370,41.356,58.114,49.196,48.510,17.052,47.530,53.508,63.798,42.728,-24.794,24.010
44.198,19.404,25.676,-4.802,33.712,22.932,6.076,41.356,58.212,49.196,48.510,17.052,47.530,53.410,63.798,42.532,-24.794,23.912
44.198,19.404,25.676,-4.508,33.712,22.932,6.076,41.356,58.212,49.294,48.706,16.954,47.334,53.312,63.798,42.728,-24.696,24.010
75.264,0.980,49.784,97.412,0.784,47.040,65.856,1.470,42.336,59.780,1.078,-1.078,19.012,25.578,15.680,33.222,22.932,12.544
75.264,0.980,49.784,97.412,0.784,47.432,92.512,1.470,42.728,83.300,1.078,-1.078,19.110,25.480,18.816,33.124,22.932,12.544
50.176,0.980,49.784,72.324,0.784,47.432,92.512,1.470,42.728,83.300,1.078,-1.078,19.110,25.480,18.816,33.124,22.932,12.544
50.176,0.980,49.784,72.324,0.784,47.432,67.424,1.470,42.728,83.300,1.078,-1.078,19.012,25.480,18.816,33.124,22.932,12.544
50.176,0.980,49.784,72.324,0.784,47.432,67.424,1.470,42.728,58.212,1.078,-1.078,19.012,25.480,18.816,33.222,22.834,18.816
44.296,19.110,25.578,-4.606,33.712,22.834,6.272,41.356,58.114,49.196,48.608,16.856,47.530,53.704,63.798,42.826,-24.696,24.010
76.832,0.980,49.784,67.620,0.784,47.432,92.512,1.470,42.728,81.732,1.078,-1.078,19.012,25.578,18.816,33.222,22.932,18.816
76.832,0.980,49.784,67.620,0.784,47.432,67.424,1.470,42.728,56.644,1.078,-1.078,19.012,25.578,18.816,33.222,22.932,18.816
51.744,0.980,48.608,95.844,0.784,47.432,67.424,1.470,42.728,56.644,1.078,-1.078,19.110,25.578,0.000,33.222,22.932,18.816
51.744,0.980,48.608,95.844,0.784,47.824,92.512,1.470,42.728,56.644,1.078,-1.078,19.110,25.578,0.000,33.124,22.932,18.816
51.744,0.980,48.608,95.844,0.784,47.824,92.512,1.470,43.120,83.300,1.078,-1.078,19.110,25.578,0.000,33.124,22.932,18.816
44.198,19.110,25.578,-4.704,33.810,22.736,6.272,41.258,58.114,49.490,48.608,16.954,47.628,53.312,63.798,42.826,-24.696,24.010
44.198,19.110,25.578,-4.704,33.810,22.736,6.174,41.258,58.114,49.294,48.608,16.954,47.432,53.410,63.700,42.826,-24.598,24.010
76.832,0.980,49.000,70.756,0.784,48.216,90.944,1.470,43.512,83.300,1.078,-1.078,19.012,25.578,6.272,33.222,22.932,6.272
51.744,0.980,49.000,70.756,0.784,48.216,65.856,1.470,43.512,58.212,1.078,-1.078,19.012,25.578,6.272,33.222,22.932,6.272
